id,name,text
113,,<span class='scene-font-katari'>その凶刃を振るった主は、</span><br><span class='scene-font-katari'>ルシフェルの背後の空間、</span><br><span class='scene-font-katari'>そこに開いた虚空より足を踏み出した。</span>
114,黒衣の男,つまらぬ。<br>あまりにつまらぬ結論だ。
115,路西菲尔,…………
116,黒衣の男,無駄だ、修復は出来ぬ。
117,路西菲尔,……生きていたのか、久しいな。
118,黒衣の男,苦労したぞ。<br>途方もないほど永い時を<br>放浪させられた。
119,黒衣の男,現世では何千年前になる？<br>貴様に空の底に落とされてから……
120,黒衣の男,まぁ、構わぬ。<br>お陰で不滅を滅する力を得た。
121,路西菲尔,何が目的だ？<br>己の復讐か、「彼」の仇か？
122,黒衣の男,些末な事を。<br>無論<span class='scene-font-spword'>『ルシファーの遺産』</span>だ。<br>此処に封印している事はわかっている。
123,黒衣の男,貴様自身が鍵という事も。
124,路西菲尔,…………
125,,<span class='scene-font-katari'>黒衣の男は再び凶刃を振るい、</span><br><span class='scene-font-katari'>次はルシフェルの翼を切断する。</span>
129,黒衣の男,時代は変わる。<br>貴様が望もうと、望むまいと。
130,黒衣の男,フフフ……
131,,<span class='scene-font-katari'>こうして空の世界に再び、</span><br><span class='scene-font-katari'>新たな災厄が襲い掛からんとしていた。</span>
132,,<span class='scene-font-katari'>そして天司達の因縁もまた、再び──</span>
info,,
